               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11776,            0.029825,            0.031789,           0.0034252,             0.18571,            0.012913,           0.0036113,            0.083612,            0.024098,            0.021231,              0.0964,              0.0004,              0.0004
                   1,            0.095236,            0.029011,            0.024077,           0.0033228,             0.23571,            0.056906,           0.0065864,            0.079192,            0.022937,            0.019405,            0.091885,          0.00088515,          0.00088515
                   2,            0.098479,            0.028805,            0.024495,           0.0046878,             0.30714,            0.024264,           0.0058759,            0.061978,            0.021438,            0.017639,            0.087354,           0.0013538,           0.0013538
                   3,            0.083659,            0.027665,            0.021793,           0.0042912,             0.40714,            0.052552,            0.010739,            0.051589,            0.020922,            0.016995,            0.082806,           0.0018059,           0.0018059
                   4,            0.094846,            0.030001,            0.024133,           0.0042385,             0.40714,             0.05388,            0.017449,            0.048073,            0.019814,            0.016355,            0.078242,           0.0022416,           0.0022416
                   5,            0.074319,            0.028634,            0.021078,           0.0044455,             0.51429,            0.073534,            0.030602,            0.046123,            0.019026,            0.015253,            0.073661,           0.0026608,           0.0026608
                   6,            0.074189,            0.029026,            0.021539,             0.15775,             0.40714,             0.19091,            0.057812,            0.043058,            0.017433,             0.01267,            0.069063,           0.0030634,           0.0030634
                   7,            0.064549,            0.027876,            0.014671,             0.23345,             0.72143,             0.43067,             0.13198,            0.041001,            0.016079,            0.010989,             0.06445,           0.0034496,           0.0034496
                   8,            0.055125,            0.024079,            0.014323,             0.57884,             0.45714,              0.5694,             0.19177,            0.042842,            0.014658,            0.009491,            0.059819,           0.0038192,           0.0038192
                   9,            0.062728,            0.027274,            0.015452,              0.4477,             0.44883,             0.48954,             0.22245,            0.034867,            0.014526,           0.0082214,            0.055172,           0.0041724,           0.0041724
                  10,            0.056851,            0.022741,             0.01053,             0.32121,             0.62965,             0.48227,             0.19451,            0.033656,            0.013438,           0.0070679,            0.050509,            0.004509,            0.004509
                  11,             0.05813,            0.021047,            0.011399,              0.4613,             0.59286,             0.63085,             0.25899,            0.035599,            0.012346,           0.0054532,            0.045829,           0.0048291,           0.0048291
                   0,              0.1247,            0.018397,             0.03341,           0.0028438,             0.72143,             0.01936,           0.0066929,            0.082692,            0.012361,            0.018011,              0.0928,              0.0008,              0.0008
                   1,             0.11094,            0.018409,            0.029716,            0.015972,             0.55714,            0.044909,            0.011501,            0.069673,             0.01376,            0.017335,            0.084672,            0.001672,            0.001672
                   2,            0.097828,             0.02175,            0.026104,           0.0041123,                   1,            0.074924,             0.03523,            0.058409,            0.014711,            0.016645,            0.076514,           0.0025142,           0.0025142
                   3,            0.087572,            0.022673,            0.024512,            0.057359,             0.87857,             0.19005,            0.070096,            0.049111,            0.015263,            0.015473,            0.068327,           0.0033267,           0.0033267
                   4,            0.080842,            0.024132,            0.022568,              0.2844,             0.26429,             0.25843,             0.11728,            0.047898,            0.014275,            0.014333,             0.06011,           0.0041096,           0.0041096
                   5,               0.076,            0.023524,            0.018132,             0.17505,              0.1088,             0.27445,            0.078007,             0.04802,            0.014278,            0.013868,            0.051863,           0.0048628,           0.0048628
                   6,            0.071387,            0.023875,            0.018659,             0.38022,             0.49286,             0.46261,             0.16811,            0.042021,              0.0129,            0.012231,            0.043586,           0.0055862,           0.0055862
                   7,            0.070607,            0.024347,            0.013963,             0.39615,             0.61718,             0.43631,             0.12037,            0.042309,            0.012062,            0.011008,             0.03528,             0.00628,             0.00628
                   8,            0.061887,            0.022249,            0.014549,             0.35745,             0.54286,             0.41284,             0.14706,            0.039934,            0.012286,            0.010133,            0.026944,            0.006944,            0.006944
                   9,            0.066419,            0.023256,            0.015417,             0.39354,             0.62444,             0.51347,             0.17077,            0.044876,            0.010868,           0.0089949,            0.018578,           0.0075783,           0.0075783
                  10,            0.059314,            0.020462,            0.015057,             0.19912,             0.66429,             0.21946,            0.077567,            0.047706,            0.010525,           0.0074813,            0.010183,            0.008183,            0.008183
                  11,            0.068382,            0.019648,            0.013394,             0.19513,             0.67117,             0.33095,             0.10955,            0.051394,           0.0093839,           0.0067732,            0.008185,            0.008185,            0.008185
                  12,            0.067873,            0.018107,             0.01463,             0.20987,             0.57857,             0.22254,            0.095762,            0.045599,           0.0097967,           0.0068904,            0.008185,            0.008185,            0.008185
                  13,            0.068055,            0.020367,             0.01246,             0.47821,             0.51232,             0.50191,             0.23563,            0.044547,           0.0096165,           0.0060125,             0.00802,             0.00802,             0.00802
                  14,            0.062555,            0.019403,            0.010703,             0.26882,             0.71429,             0.49136,              0.1517,            0.042807,           0.0093429,           0.0064276,            0.007855,            0.007855,            0.007855
                  15,            0.061243,            0.020386,           0.0090287,             0.42852,             0.49286,              0.5182,             0.19523,            0.040363,           0.0087852,           0.0041217,             0.00769,             0.00769,             0.00769
                  16,            0.053216,            0.021569,           0.0092619,             0.50604,             0.49286,             0.61993,             0.36255,            0.036016,           0.0086156,           0.0039496,            0.007525,            0.007525,            0.007525
                  17,            0.056116,            0.021276,           0.0089538,             0.58909,             0.48058,             0.57198,             0.26416,            0.034089,           0.0086613,           0.0036436,             0.00736,             0.00736,             0.00736
                  18,            0.054666,            0.021754,           0.0091698,             0.48918,             0.63444,             0.55195,             0.23518,            0.039855,           0.0077303,           0.0029624,            0.007195,            0.007195,            0.007195
                  19,             0.05735,            0.021196,            0.007378,             0.35191,             0.73571,             0.55379,             0.26651,            0.035585,           0.0077026,           0.0024474,             0.00703,             0.00703,             0.00703
                  20,            0.056256,            0.019521,           0.0084031,             0.37697,             0.74832,             0.50581,             0.23393,            0.038246,           0.0074234,           0.0022805,            0.006865,            0.006865,            0.006865
                  21,            0.056789,             0.01827,           0.0055279,             0.45814,                 0.7,              0.6236,             0.27344,            0.032001,             0.00726,           0.0023799,              0.0067,              0.0067,              0.0067
                  22,            0.053684,            0.017883,           0.0075982,             0.38818,             0.78571,             0.50444,             0.31387,            0.035139,           0.0070447,           0.0025112,            0.006535,            0.006535,            0.006535
                  23,            0.051073,             0.01735,           0.0069641,             0.41345,             0.74158,             0.44917,             0.19284,            0.032763,           0.0070933,           0.0030007,             0.00637,             0.00637,             0.00637
                  24,             0.04899,            0.018592,           0.0077708,             0.42836,              0.7668,             0.54237,             0.28204,            0.029256,           0.0071988,           0.0031303,            0.006205,            0.006205,            0.006205
                  25,            0.050346,            0.017184,           0.0067142,             0.95483,             0.62702,             0.80608,             0.38693,            0.028847,           0.0069245,           0.0031214,             0.00604,             0.00604,             0.00604
                  26,            0.046586,             0.02048,           0.0072516,             0.53905,             0.64286,             0.45239,             0.30344,            0.035426,            0.006962,           0.0039537,            0.005875,            0.005875,            0.005875
                  27,            0.056378,            0.018656,           0.0053416,             0.52449,             0.69029,             0.54602,              0.2406,            0.033102,           0.0067704,            0.004466,             0.00571,             0.00571,             0.00571
